complaint,category
"Rly station gets bag scanner, still lacks adequate security     ",security
The sensitivity of  towards the  corridor between Madukarai and Ettimadai stations in TN! During dayti,journey
"If you have  Loyalty points then you can easily redeem them while booking your 3AC tickets as well as other A  Pics from  Express, to , Mar,2018 Not all, but much of the litter on ",journey
"Dear sir, I am travelling to ghazipur by 22434 and it been more than 2hours train i ",others
The sensitivity of  towards the  corridor between Madukarai and Ettimadai stations in TN! During dayti,journey
"Use Check Chart/ Vacancy section to check all type of seat availability from vacant, booked and partially booked berths",journey
"Condition of train no. 12322, all coaches extremely dirty, TT unnecessary giving moral lecture that cleaners are also hu",clean
cant be trusted in emergency situation. ,others
Trains between Agra cantt(agc) And Jhansi(jhs) stations  ,journey
Indian railways IRCTC website is the LEAST reliable service. The website suddenly crashed during the peak time of 1 ,digital
The sensitivity of  towards the  corridor between Madukarai and Ettimadai stations in TN! During dayti,journey
"Condition of train no. 12322, all coaches extremely dirty, TT unnecessary giving moral lecture that cleaners are al ",clean
"see the condition and cleanliness of train no. 12322, pathetic ",clean
Flashback to the iconic first ever fashion show to be held on a train in India. The  was or,others
"Use Check Chart/ Vacancy section to check all type of seat availability from vacant, booked and partially booked berths",journey
The sensitivity of  towards the  corridor between Madukarai and Ettimadai stations in TN! During dayti,journey
Trains between Raipur(r) And Warangal(wl) stations  ,journey
Thank you so much    called 138 helpline number no one picked up   ,security
"Use Check Chart/ Vacancy section to check all type of seat availability from vacant, booked and partially booked berths",journey
The sensitivity of  towards the  corridor between Madukarai and Ettimadai stations in TN! D ,journey
Night inspection from Coimbatore junction at 0340 hrs - the train running late by one hour! And a LGD WAP-7 will be ,journey
1/5  on  by sivasss1992 : Raptisagar-express-12522 -   So far no support. Please understand all drunkards making huge mess. Ita matter or sa ,others
"Is this Digital and incredible India..how the old people will go to the correct platform with coach position, ",digital
train04156 is running late and your app is not showing late why not helpful now never trusted,journey
Why cant your information system state it cor  train04156 is running late and your app is not showing late why not helpful now never trusted ,journey
Will 19601 diverted between gorakhpur and Muzaffarpur for 13 April ,journey
"It is really disheartening and shameful act for RRBs India that, bei ",others
is introducing a direct train from New Delhi to Leh which will cut short the travel time by half. That is to say tha,journey
Trains between Delhi(ndls) And Dehradun(ddn) stations  ,journey
Kindly arrange to clean washrooms of Train 58012 Chakradharpur Howrah Passenger. Coach S4 is in terrible condition.   Thank you so much  ,clean
Worst maintenance of train coach no door lock and water at washroom smelling too much can\xe2\x80\x99t even sit on the seat ,journey
I request South Eastern Railway & Railway officers to look into the matter immediately.\ ,others
"following Express/ mail trains and passenger trains to and from Chennai will be affected on April 13th, 14th and 15th you should ban male vendors getting into ladies compartments in the locals and penalise them. In fact y  Dear Sir, please make widows in upper berth seats of trains also otherwise  give us lowe ",journey
"Our operators are given thorough, professional training to ensure that you get the best service when you use any an ",others
"My PNR is 8116129507 and traveling in Jhelum express. One drinker is there and roaming in the train because of that  Sir we are traveling in 16320 B2, there is no proper AC and including old people and kids getting suff ",others
bOver 3 hours of delay for a train regularly. Dont you guys have any sort of accountability?. Rapthisagar express(1  Thank you for maintaining excellent level of cleanliness consistently in .. Photograph ,journey
"Hazrat Nizamuddin, Anand Vihar railway stations become stations   ",others
"PF Constable Ancillary Answer Key 2019 published, check last date for filing objections   ",health
"NR: 2160488999, AG KRANTI RJDHN (12954). Seats : B9/46 ,45,48  Denied evening snacks even though ",others
"Travelling from Bhopal to Delhi from 06521, there is no communication regarding train plateform, coach number or status.",journey
our  train will no longer get delayed! Strict rules to be put in place to adhere to schedule ,journey
